Applaud.	Pumalakpak.
It seemed to me I went back to the Philippines, but what a gloomy reception!	Tila bumalik ako sa Pilipinas, at anong lungkot ang pagsalubong!
It should be able to collect and share feeds in a simple way.	Dapat itong mangolekta at magbahagi ng mga feed sa isang simpleng paraan.
It takes in an incredible amount of wildlife from a boat.	Kinakailangan sa isang hindi kapani-paniwala na halaga ng mga hayop mula sa isang bangka.
It took one week for a localized event to escalate to world war.	Inabot ng isang linggo upang lumaki ang kaganapin patunggo sa digmaang pandaigdig.
It was during the rainy season three years ago that Tom first met Mary.	Tag-ulan tatlong taon ang nakalipas noong nakilala ni Tom si Mary.
It was put in a box somewhere, never to be seen again.	Ito ay inilagay sa isang kahon sa isang lugar, hindi na makikita muli.
It wasn't as if he had to be there every living minute of his life.	Hindi naman kinailangan na nandoon siya minuminuto ng kaniyang buhay.
It's definitely a mistake to channel your energy for the wrong things.	Tiyak na isang pagkakamali ang ibuhos ang iyong lakas sa hindi makabuluhang bagay.
It's discouraging that the travel expenses add up to 20,000 yen.	Nakakapanghina ng loob na ang suma ng mga gastusin sa paglalakbay ay 20,000 yen.
It's good to hear that they are both willing to put their differences aside.	Magandang malaman na nais nilang isantabi ang kanilang mga hindi pagkakasundo.
It's hard to achieve success if you're not in your best shape.	Mahirap na makamit ang tagumpay kung wala ka sa iyong pinakamainam na hugis.
It's hard to know what later generations will deem to be art.	Mahirap hulaan kung ano kaya ituturing na sining ng mga susunod na henerasyon.
It's now 10:40 am and you're still traveling to your destination.	Ngayon ay 10:40 ng umaga at ikaw ay naglalakbay parin patungo sa iyong destinasyon.
It's probably healthier to eat popcorn than it is to eat potato chips.	Baka mas malusog kumain ng papkorn kaysa sa kumain ng poteyto tsip.
It's so ridiculous to say that the rapture.	Ito ay sobrang nakakatawa na sabihinng ang destruksyon ay hindi makikita sa aklat ng Rebelasyon sa anumang.
January 1 is the first day of the year in the Gregorian Calendar.	Ang Enero 1 ay ang unang araw ng taon sa Kalendaryong Gregorian.
John had played baseball for five years until he injured his knee.	Limang taon nang naglalaro ng baseball si John noong napinsala ang kanyang tuhod.
Kaya sasabihin kong salamat sa musika at sa mga kantang kinakanta ko.	So I say thank you for the music and the songs I'm singing.
Lapu-Lapu City is named after Datu Lapu-Lapu, the first Filipino hero.	Ang Lapu-Lapu City ay ipinangalan mula kay Datu Lapu-Lapu, ang unang bayani ng Pilipinas.
Lapua is home to many famous design companies and boutiques.	Ang Lapua ay tahanan sa maraming sikat na disenyo ng mga kumpanya at mga boutique.
Less than two hours after the baby was taken the police came.	Dumating ang mga pulis humigit kumulang sa dalawang oras bago tangayin ang sanggol.
Life is too short to not do what you love.	Ang buhay ay masyadong maikli para hindi mo gawin kung ano ang iyong gustong gawin.
Local producers can sometimes have lower prices than supermarkets.	Ang mga lokal na tagagawa ay maaaring magkaroon ng mas mababang presyo kaysa sa mga supermarket.
Looking at these statistics, we can see an upward trend.	Sa pagtingin sa mga istatistika na ito, maaari naming makita ang isang paitaas na trend.
Low blood is not a concern if there are no symptoms present.	Ang mababang dugo ay hindi kailangang intindihin kung walang mga sintomas na naroroon.
Male versus female tensions bring up the most interesting conversations.	Lalaki laban sa mga babae na mayroong tensyon ay nagdadala ng mga pinaka-kagiliw-giliw na pag-uusap.
Man on TV: There will be a time when physical.	Lalaki sa Telebisyon: Darating ang araw kung saan ang pisikal na pera ay mawawala na.
Martha had been walking three miles a day before she broke her leg.	Lumalakad si Martha ng tatlong milya araw-araw bago nabali ang kanyang binti.
Mental health also includes a person's ability to enjoy life.	Kasama rin sa kalusugan ng isip ang kakayahan ng isang tao na masiyahan sa buhay.
Message me on Twitter if you need banner designs.	Magpadala ka ng mensahe sa akin sa Twitter kung kailangan mo ng mga disenyo ng istandarte.
Miho told me that she's returning to Japan next year.	Sinabi sa akin ni Miho na babalik na siya sa Japan sa susunod na taon.
Milk is a white liquid produced by the mammary glands of mammals.	Ang gatas ay isang puting likido na ginawa ng mammary glands ng mammals.
More places in Lapu-Lapu City have not been discovered yet.	Marami pang mga lugar sa Lapu- Lapu City ang hindi pa natuklasan at nabigyang pansin.
Most babies learn to speak when they are about two years old.	Karamihan ng mga sanggol ay natututong magsalita kapag dalawang taong gulang na sila.
My book will supposedly get released in three hours or so.	Ang aking libro ay dapat na ilabas sa loob ng humigit-kumulang sa tatlong oras.
My dad vows to make the children feel safe at school.	Ang aking ama ay nangakong ipadama sa mga bata na ligtas sila sa paaralan.
My father-in-law was waiting at the rental agency when we pulled up.	Ang aking biyenan ay naghihintay sa ahensya ng pag-upa kapag kami ay nakuha.
My little van is full of kits ready to be delivered.	Ang aking maliit na van ay puno ng mga kit na handa nang maihatid.
News Lady: Have you ever wondered if one day.	Babaeng Nagbabalita: Magtataka ka ba kung isang araw ang cold hard cash ay maglaho na lang.
No one wants to work with a person who doesn't listen to legitimate criticism.	Walang gustong makipagtulungan sa isang taong hindi nakikinig sa lehitimong pagpuna.
Nutritionists urged medical students to take lifestyle-related subjects.	Hinihikayat ng mga nutrisyonista ang mga estudyanteng medikal na kumuha ng mga araling may kinalaman sa pamumuhay.
Occasionally, heart problems can give a sensation of tooth pain.	Paminsan-minsan, ang mga problema sa puso ay maaaring magbigay ng pandamdam ng sakit ng ngipin.
Officers tend to have several dozen pairs of loose legs.	Ang mga onikopora'y may malamang sungo't ilang dosenang mga pares ng mga malasupot na paa.
On January 2, 1818, the British Institution of Civil Engineers was founded.	Noong Enero 2, 1818, ang Institution of Civil Engineers ng Britanya ay naitatag.
On the morning of the fourth of October he signed the dispositions.	Sa umaga ng ika-apat ng Oktubre ay pinirmahan na niya ang mga napagpasyahan.
On the third day after the beginning of the storm the snow ceased.	Sa pangatlong araw mula sa simula ng bagyo tumigil na ang pagniyebe.
One brought me a tissue, a tiny gesture of kindness.	Ang isa ay nagdala sa akin ng isang tisyu, isang maliit na kilos ng kabaitan.
One day a friend of his who lived in Boston came to see him.	Isang araw ay binisita siya ng kaibigan niya mula sa Boston.
One day I asked her if she felt any symptoms of pregnancy.	Tinanong ko siya noong isang araw kung nakararamdam siya ng simtomas ng pagbubuntis.
One hundred and fifty pesos is the price to go up the bell tower.	Isang daan at limampung piso ang halaga para umakyat sa kampanaryo.
One of our companions treated us to the Mirror Maze at a mall.	Nilibre kami ng isa naming kasama sa Mirror Maze sa isang mall.
One thing I dont do enough is answer your questions.	Ang isang bagay na hindi ko sapat na ginagawa ay sagutin ang iyong mga tanong.
Only one review had enough to shave Darwin to remember it later.	Isa lamang review ang sapat na uminis kay Darwin upang maalala ito kalaunan.
Otavalo is a market town famed for its colorful merchandise.	Ang Otavalo ay isang merkado ng lungsod na kilala para sa makulay na merchandise nito.
Our sales numbers do not seem to agree with your conclusions.	Ang aming mga numero ng pagbebenta ay tila hindi sumasang-ayon sa iyong mga konklusyon.
Pastor Anderson: And he said that Islam believes.	Pastor Anderson: At ang sabi niya na naniniwala ang Islam na si Abraham ay isang dakilang propeta.
Pastor Anderson: I think Satans plan with.	Pastor Anderson: Sa tingin ko ang plano ni Satanas sa destruksyon bago ang kapihatian ay upang ang lahat.
Pastor Anderson: Is that first mention singular.	Pastor Anderson: Yun bang unang banggit ay pang-isahan o pang-maramihan Kung gayon ay narinig na nila ang antikristo.
Pastor Anderson: So we don't know the day.	Pastor Anderson: Kaya hindi natin alam ang araw o ang oras pero isang bagay ang alam natin.
Pastor Anderson: These preachers need to decide.	Pastor Anderson: Ang mga mangangaral na ito ay kailangang magdesisyon kung ang pagbibigay-lugod sa tao ay mas mahalaga.
Pastor Anderson: This is one of the tools.	Pastor Anderson: Ito ang isa sa mga kasangkapan ni Satanas na gamit upang usigin ang mga mananampalataya.
Pastor Anderson: You would think that someone.	Pastor Anderson: Iisipin mo na may taong makakapagpakita sa iyo ng isang bersikulo mula sa 22 na nabanggit.
Pastor Jimenez: It is just amazing to me that.	Pastor Jimenez: Nakakapagtaka lang ara sa akin na habang tinitignan ninyo ang salitang kapighatian sa kabuuan.
Pastor Jimenez: The reason I showed you this.	Pastor Jimenez: Ang dahilan kung bakit ko ito ipinakita sa inyo ay nais kong inyong maintindihan na.
Pastor Jimenez: The reason people think that.	Pastor Jimenez: Ang rason kung bakit iniisip ng tao na ang salitang hinirang ay tumutukoy sa mga Hudyo.
Pastor Jimenez: What we learn from this passage.	Pastor Jimenez: Ang ating natutunan sa siping ito ay ang katotohanan na nung si Lot ay inalis.
People ranged ranged in age from 14 to 79 years old.	Ang mga tao ay may edad na labing-apat hanggang pitumpo't siyam na taong gulang.
People told us it was impossible to get cannabidiol from hemp.	Sinabi sa amin ng mga tao na imposibleng makakuha ng cannabidiol mula sa abaka.
People traveling abroad always have to get used to new food.	Ang mga taong naglalakbay sa ibang bansa ay dapat masanay sa mga bagong pagkain.
Personal Essay Example about Happiness: What Happiness Means to Me?	Halimbawa ng Personal na Sanaysay tungkol sa Kaligayahan: Ano ang Kahulugan sa Kaligayahan sa Akin?
Players should work on their fundamentals for them to improve.	Ang mga manlalaro ay dapat magtrabaho sa kanilang mga pangunahing kasanayan upang sila ay gumaling.
Preaching to the Jews in the Olivet Discourse.	Habang nangangaral sa mga Hudyo sa Talumpati sa Olivet (ang kaakit-akit na pangalang teolohikong ibinigay nila dito.
Rabbit Appearance of myxomatosis in rabbit population in Australia appears.	Kuneho Lumitaw ang pagiging hindi tinatalaban ng myxomatosis sa mga populasyon ng kuneho sa Australia.
Rain pinched my face, each drop a quick, cold sensation.	Pinatakan ng ulan ang aking mukha, ang bawat patak ay isang mabilis, malamig na pakiramdam.
Rats are able to detect whether a child has tuberculosis (TB).	Kayang matuklasan ng mga daga kung ang isang bata ay may tuberculosis (TB) .
Reagent recombination involves antigens called recombinases such as RAD51.	Ang reaskiyong rekombinasyon ay kinaka-katalisa ng mga ensaym na tinatawag na mga recombinase gaya ng RAD51.
Regulation of drug and medical supplies are different according to the jurisdiction.	Ang regulasyon ng gamot at gamit sa panggagamot ay naiiba batay sa hurisdiksyon.
She always feeds her child with apple to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng mansanas para lumakas ang resistensya.
She always feeds her child with banana to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng saging para lumakas ang resistensya.
She always feeds her child with cabbage to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng repolyo para lumakas ang resistensya.
She always feeds her child with cucumber to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng pipino para lumakas ang resistensya.
She always feeds her child with eggplant to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng talong para lumakas ang resistensya.
She always feeds her child with garlic to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng bawang para lumakas ang resistensya.
She always feeds her child with grape to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng ubas para lumakas ang resistensya.
She always feeds her child with guava to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng bayabas para lumakas ang resistensya.
She always feeds her child with jackfruit to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng langka para lumakas ang resistensya.
She always feeds her child with mango to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng mangga para lumakas ang resistensya.
She always feeds her child with milk to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng gatas para lumakas ang resistensya.
She always feeds her child with onion to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng sibuyas para lumakas ang resistensya.
She always feeds her child with pineapple to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng pinya para lumakas ang resistensya.
She always feeds her child with pomelo to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng suha para lumakas ang resistensya.
She always feeds her child with radish to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng labanos para lumakas ang resistensya.
She always feeds her child with squash to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng kalabasa para lumakas ang resistensya.
She always feeds her child with tamarind to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng sampalok para lumakas ang resistensya.
She always feeds her child with tomato to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng kamatis para lumakas ang resistensya.
She always feeds her child with watermelon to have a strong immune system.	Lagi niyang pinapakain ang kanyang anak ng pakwan para lumakas ang resistensya.
She does her job dutifully at the expense of her own health.	Ginagawa niya ang kanyang trabaho nang tapat sa kapinsalaan ng kanyang sariling kalusugan.
She felt that Jim would know more about the Saw-Horse later on.	Sa tingin niya ay mas marami pang malalaman si Jim tungkol sa Saw-Horse.
She was unable to completely give up her dream of traveling abroad.	Hindi niya tuluyan na sinukuan ang pangarap niya na maglakbay sa ibang bansa.
Sifting flakes melt against my cheeks, a vanishing moisture.	Ang mga pag-aalis ng mga natuklap ay natunaw sa aking mga pisngi, isang pag-aalis ng kahalumigmigan.
Sir, I believe this punishment is not enough for him to learn.	Sir, naniniwala ako na ang parusang ito ay hindi sapat para matuto siya.
Sixteen broken bones gave me two months to think and reflect.	Labing-anim na baling mga buto ang nagbigay sa akin ng dalawang buwan upang makapagnilay.
So, to fill our bellies with food and ears with more reprimands,	Kaya, upang malagyan ang aming sikmura at makarinig pa ng mas maraming sermon,
Some farmed tilapia have a muddy taste due to blue algae.	Ang ilang mga inaning tilapia ay may lasang gilik dahil sa asul na algae.
Soon after this the children came in to say good night.	Pagkatatapos na pagkatapos nito ay papasok ang mga bati upang bumati ng magandang gabi.
Stagnant economics accentuated some of the most Russian of qualities, however.	Ang nagpapalakas na ekonomiya ay nagpapakilala sa ilan sa mga pinaka-Russian na katangian, gayunpaman.
Supervisors look at independent employees less favorably than cooperative employees.	Mas hindi pinapaburan ng mga superbisor ang mga mapag-isang empleyado kaysa sa mga kooperatibong empleyado.
Suppose a student gets a job but narrowly fails the final exam.	Halimbawang makakuha ang estudyante ng trabaho pero muntik nang hindi bumagsak sa exam.
Surveyors collect data and make maps of the Earth's surface.	Kinokolekta ng mga surveyor ang data at gumagawa ng mga mapa ng ibabaw ng mundo.
Talented writers who wait too much never get to publish anything.	Ang mga talentadong manunulat na naghihintay nang sobra ay hindi makakapaglathala ng kahit ano.
Teacher and I had a lovely time with many kind friends.	Ako at ang aking guro ay naging masaya kasama ng aming mga mabubuting kaibigan.
Tell him that I'll attend the funeral of a dead relative of mine.	Sabihin mo na makikipaglibing muna ako doon sa isang kamag-anak kong namatay.
Ten years later, in Somalia, the last natural case of smallpox occurred.	Matapos ang sampung taon sa Somalia ang huling kaso ng bulutong ay nangyari.
That man is a living testimony that hard work beats talent.	Ang taong iyon ay isang buhay na patotoo na matatalo ng pagsisikap ang talino.
That the pre-trib rapture is a fraud not found.	Na ang destruksyon bago ang kapighatian ay isang panlilinlang na hindi makikita sa banal na kasulatan.
The adaptation is evolved by the gradual transformation of existing structures.	Ang pag-aangkop ay nangyayri sa pamamagitan ng unti-unting pagbabago ng mga umiiral na istruktura.
The airways open longer and making it easier to breathe.	Ang mga daanan ng hangin ay binubuksan nang mas mahaba at ginagawang mas madaling huminga.
The Alaskans talked way too much about boats and American football.	Ang mga Alaskans ay nagsalita nang labis tungkol sa mga bangka at Amerikanong football.
The bat think she probably just thinks of herself as one of the boys.	Sa tingin ng paniki iniisip niyang isa siya sa mga lalaki.
The beat of an approaching drum announced the arrival of the condemned man.	Ipinababatid ng papalapit ng tunog ng tambol ang pagdating ng taong kondenado.
The body of one is composed of thirteen parts covered with armor.	Ang katawan ng isang kinorinsa'y binubuo ng labintatlong bahaging natatakpan ng mga baluting.
The boy was standing on the table when the principal came into the room.	Nakatayo ang lalaki sa lamesa noong pumasok ang prinsipal sa silid.
The boys had been quarreling for half an hour when we arrived home.	Kalahating oras nang nag-aaway yung mga lalaki nung dumating kami sa bahay.
The butterfly postponed my date because the butterfly had to work late.	Kinailangan ng paru-paro magtrabaho hanggang gabi kaya ipinagpaliban ng paru-paro ang aking date.
The butterfly wish the butterfly had not bought such a useless thing.	Sana ay hindi na lang ang paru-paro bumili ng isang walang kuwentang bagay.
The camels hope the dog and the cat know how fix this.	Umaasa ang kamelyo na alam ng aso at pkamelyo kung paano ayusin ito.
The cart path we drove on had no cracks or bumps.	Ang landas ng kariton na aming dinaanan ay walang mga biyak o mga umbok.
The cat had chased the bird before it flew out of the yard.	Nahuli ng pusa ang ibon bago ito nakalipad sa labas ng bakuran.
The choice of definition depends on the particularity of the specifics.	Ang pagpipilian ng depinisyon ay nakasalalay sa mga partikularidad ng isinasaalang alang na espesye.
The collision makes its taste almost like a cliche of fusion.	Ang banggaan ay gumagawa ng lasa nito halos tulad ng isang cliche ng fusion.
The complicated forms of life have suddenly emerged in the Cambrian explosion.	Ang mga komplikadong anyo ng buhay ay biglaang lumitaw sa pagsabog na Cambrian.
The cricket didn't know that the dog was supposed to do that.	Hindi alam ng kuliglig na dapat ang aso ang dapat na gagawa niyon.
The cricket think it's time for me to give up on this relationship.	Iniisip ng kuliglig na oras na para sumuko ako sa relasyong ito.
The crickets sell things here that you can't find anywhere else.	Nagbebenta dito ang mga kuliglig ng mga bagay na hindi mo makikita kahit saan.
The crocodile didn't know how long the dog expected me to wait.	Hindi alam ng buwaya ilang oras ang inaasahan ng aso na ako'y maghihintay.
The crocodile didn't tell you because the crocodile thought you weren't interested.	Hindi sinabi ng buwaya sayo dahil akala ng buwaya na hindi ka interesado.
The crocodiles just reported on the news that a vicious murderer is lying in wait.	Binalita ng mga buwaya na mayroong mamamatay tao na naghihintay.
The current chairman is opposed to all candidates who will replace him.	Ang kasalukuyang tagapangulo ay tutol sa lahat ng mga kandidatong papalit sa kanya.
The doctor said that you eat this for the wound in your foot.	Sabi ng doktor kumain ka nito para sa iyong sugat sa paa.
The downward trend may have implications for the staff's well-being.	Ang pababang trend ay maaaring magkaroon ng mga implikasyon para sa kabutihan ng mga kawani.
The dragonflies accused the president of not caring about the common man.	Inaktutubihan ng mga tutubi ang president ng hindi pagkakaroon ng pakialam sa tao.
The eagle wish the eagle hadn't told the dog anything.	Nais ng agila na sana hindi sinabi ng agila ang kahit na ano sa aso.
The exchange rates are different depending on where you are in Penang.	Magkakaiba ang palitan ng pera depende sa kung saang lugar ka sa Penang.
The first 11 chapters follow a chronology.	Ang unang 11 mga kapitulo ay tumatakbo sa isang pagkakasunod-sunod ng mga pangyayari na bumubuo ng perpektong kahulugan.
The flies accused the president of not caring about the common man.	Inakusahan ng mga langaw ang president ng hindi pagkakaroon ng pakialam sa tao.
The flies hope the dog and the cat know how fix this.	Umaasa ang langaw na alam ng aso at pusa kung paano ayusin ito.
The following are: domino, kingdom, phylum, class, order, family, henus (genus) and species.	Ang pagkakasunod ay: dominyo(domain), kaharian(kingdom), phylum, klase, orden(order), pamilya(family), henus(genus) at species.
The generations that experienced it are being replaced by ones that didnt.	Ang mga henerasyon na nakaranas nito ay pinalitan ng mga hindi na iyon.
The government intends to step up measures to prevent destructive fishing.	Ang gobyerno ay nagbabalak na paigtingin ang mga hakbang upang mapigilan ang mapanirang pangingisda.
The government-owned airlines made a profit of 200 million dollars.	Ang mga kumpanya ng eroplano na pag-aari ng pamahalaan ay nakinabang ng 200 milyong dolyar.
The government-run Internet was down, but the LAN worked fine.	Ang pinapatakbo ng gobyerno na Internet ay bumaba, ngunit ang LAN ay gumagana nang maayos.
The hospital is looking for nurses for the dialysis care team.	Ang ospital ay naghahanap ng mga nars para sa pangkat ng pag-aalaga sa dyalisis.
The invention of TV caused a drastic change in our daily life.	Nagkaroon ng malaking pagbabago sa pang araw-araw na buhay ang imbensyon ng TV.
The lice found this book by chance in a secondhand bookstore.	Suwerte lamang na nakita ang lisa itong libro sa tindahan ng mga lumang libro.
The lice had to push my bicycle because the lice had a flat tire.	Tinulak ang lisa ang bisikleta ang lisa dahil flat ang gulong.
The lizard think she probably just thinks of herself as one of the boys.	Sa tingin ng butiki iniisip niyang isa siya sa mga lalaki.
The lizards call me Figaro because they eat so many figs everyday.	Tinatawag akong Figaro ng mga butiki kasi araw-araw silang kumakain ng mga fig.
The LTFRB held a job fair for motor taxi (habal-habal) drivers.	Ang LTFRB ay nagsagawa ng isang job fair para sa mga tsuper ng habal-habal.
The monkeys accused the president of not caring about the common man.	Inakusahan ng mga unggoy ang president ng hindi pagkakaroon ng pakialam sa tao.
The monkeys hope the dog and the cat know how fix this.	Umaasa ang unggoy na alam ng aso at pusa kung paano ayusin ito.
The mosquito hope tom and the cat do not try to do that.	Umaasa ang lamok na hindi susubukang gawin iyon nina tom at cat.
The mosquito let tom and the cat do anything they want to.	Hinayaan ng mga lamok sina tom at cat na gawin ang gusto nila.
The mosquito think you've been seeing things ever since that accident.	Iniisip ng lamok na ikaw ay nakakakita ng mga bagay pagkatapos ng aksidenteng iyon.
The mosquitoes do not know if other countries have salt bread.	Hindi alam ng mga lamok kung ang ibang mga bansa ay mayroong asing tinapay.
The mosquitoes wish the mosquitoes hadn't told the dog anything.	Nais ng lamok na sana hindi sinabi ng lamok ang kahit na ano sa aso.
The moth didn't know how long the dog expected me to wait.	Hindi alam ng gamugamo ilang oras ang inaasahan ng aso na ako'y maghihintay.
The moth didn't tell you because the moth thought you weren't interested.	Hindi sinabi ng gamugamo sayo dahil akala ng gamugamo na hindi ka interesado.
The next day it was not even mentioned in the Orders of the Day.	Kinabukasan ay hindi man lang ito nabanggit sa Utos ng Araw.
The ones at the bottom are the ones who get the least benefits.	Ang mga nasa ibaba ay ang mga nakakuha ng mga pinakakaunting benepisyo.
The only sound I'll hear after that will be my own breathing.	Ang tanging ingay na maririnig ko pagkatapos niyan ay ang aking sariling paghinga.
The organization led the way in helping to protect endangered species.	Ang organisasyon ang namuno sa pagtulong sa pagprotekta ng mga nanganganib na mga uri.
The other women who lived there serve different men on a nightly basis.	Yung iba palang mga babae doon ay may iba't ibang lalaki gabi-gabi.
The parade will have ended by the time Chester gets out of bed.	Matatapos na ang parada bago pa makabangon sa kanyang kama si Chester.
The participants shared their experiences and the obstacles they faced.	Ibinahagi ng mga kalahok ang kanilang mga karanasan at ang mga hadlang na kanilang kinakaharap.
The pictures will be more realistic in the right angle.	Sa tamang pag anggulo mo sa mga larawan ay mas magiging realistiko ang mga larawan.
The posibility of heart attack increases as a person gets old.	Ang posibilidad ng pag-atake sa puso ay tumataas habang ang isang tao ay tumatanda.
The printer malfunctioned and caused the ink to splatter all over.	Ang printer ay nagloko at nagdulot ng pagtalsik ng tinta sa lahat ng dako.
The products were all labeled in small Japanese characters.	Ang lahat ng mga produkto ay may mga pangalan sa mga maliliit na Hapon na karakter.
The quality of production has declined ever since she left the company.	Ang kalidad ng produksyon ay bumaba mula nang siya ay umalis sa kumpanya.
The rat didn't know that the dog was supposed to do that.	Hindi alam ng daga na dapat ang aso ang dapat na gagawa niyon.
The rat think it's time for me to give up on this relationship.	Iniisip ng daga na oras na para sumuko ako sa relasyong ito.
The rats sell things here that you can't find anywhere else.	Nagbebenta dito ang mga daga ng mga bagay na hindi mo makikita kahit saan.
The risk of heart attack increases as a person gets old.	Ang panganib ng pag-atake sa puso ay tumataas habang ang isang tao ay tumatanda.
The sacred life is woven into the very fabric of daily existence.	Ang sagradong buhay ay hinabi sa tunay na tela ng pang-araw-araw na buhay.
The salary is good but what's really appealing is the working schedule.	Ang suweldo ay mabuti ngunit ang talagang nakakaakit ay ang iskedyul ng trabaho.
The scorpion wish the scorpion hadn't told the dog anything.	Nais ng alakdan na sana hindi sinabi ng alakdan ang kahit na ano sa aso.
The situation actually got worse, because Id lost my self-confidence.	Ang sitwasyon ay talagang mas masahol pa, dahil nawala ko ang pagtitiwala sa sarili ko.
The snail think she probably just thinks of herself as one of the boys.	Sa tingin ng suso iniisip niyang isa siya sa mga lalaki.
The squid postponed my date because the squid had to work late.	Kinailangan ng pusit magtrabaho hanggang gabi kaya ipinagpaliban ng pusit ang aking date.
The squid think she probably just thinks of herself as one of the boys.	Sa tingin ng pusit iniisip niyang isa siya sa mga lalaki.
The squid would've gone to the movies if the squid had the time.	Kung may oras lang ang pusit pupunta sana ang pusit sa sinehan.
The students aimed at promoting gender equality in their campus.	Nais ng mga estudyante na mapalaganap ang pagkakapantay-pantay ng lahat ng kasarian sa kanilang paaralan.
The thing is I want to do more for our clients.	Ang gusto ko lamang ay mas marami pa ako magawa para sa mga kliyente.
The two remaining fingers are longer and wider than others.	Ang dalawang mga natitirang daliri ay mas mahaba at mas malapad kesa sa iba pa.
The very first thing I needed was some sort of rubbing alcohol.	Ang pinakaunang bagay na kailangan ko ay isang uri ng pagkalubhasa ng alkohol.
The very next day they came in sight of a little green island.	Kinabukasan ay agad nilang nakakita sila ng isang maliit na luntiang isla.
The whale think she probably just thinks of herself as one of the boys.	Sa tingin ng balyena iniisip niyang isa siya sa mga lalaki.
The wolf had to push my bicycle because the wolf had a flat tire.	Tinulak ng lobo ang bisikleta ng lobo dahil flat ang gulong.
The wolf wish the wolf had not bought such a useless thing.	Sana ay hindi na lang ang lobo bumili ng isang walang kuwentang bagay.
The worm found this book by chance in a secondhand bookstore.	Suwerte lamang na nakita ng uod itong libro sa tindahan ng mga lumang libro.
The worm would've gone to the movies if the worm's had the time.	Kung may oras lang ang uod pupunta sana ang uod sa sinehan.
Their cells are surrounded by chains that intermediate their cell walls.	Napapalibutan ang kanilang selula ng mga kadena na pumapagitna sa kanilang pader ng selula.
Their hair pulled back, not a strand out of place.	Ang kanilang buhok ay nakuha pabalik, hindi isang piraso ng buhok ay wala sa lugar.
Their project was not accepted because they passed it three minutes late.	Hindi tinanggap ang kanyang proyekto dahil nahuli siya ng tatlong minuto sa pagpasa.
Then eventually declaring that from now on they can do what they desire.	Pagkatapos ay ihahayag nilang maaari nilang gawin ang nais nila mula ngayon.
There are differences in the characteristics between individuals in a population.	May pagkakaiba iba sa mga katangian sa pagitan ng mga indibidwal sa isang populasyon.
There are more places to visit and can be seen in Lapu-Lapu City.	Marami pang mga lugar ang matatagpuan at pwedeng pasyalan sa Lapu-Lapu City.
There are other benefits of traveling that many people often overlook.	Mayroong iba pang mga benepisyo ng paglalakbay na madalas na binabalewala ng maraming tao.
There had been an instant bond between them from the day they met.	May koneksyon na sila bigla mula noong araw na sila ay magkakilala.
There is nothing better than playing multiplayer games during breaktime.	Walang mas mabuti kaysa sa paglalaro ng mga multiplayer na laro sa panahon ng pahinga.
These discoveries brought great interest when they reached England.	Ang mga pagkakatuklas na ito ay nagdala ng dakilang interest nang sila ay tumuntong sa Inglatera.
These locusts from hell that are going to.	Ng mga locust na may buntot na parang alakdan mula sa impyerno na kakagat sa mga tao.
They also do not believe that it had something to do with the posters.	Hindi rin sila naniniwala na may kinalaman ito sa mga paskil.
They do not have inside the body or blood transfusions.	Wala silang lungaw sa loob ng katawan ni mga kasangkapan para sa pagpapahatid ng dugo.
They had almost finished the food by the time we reached there.	Tapos na sila sa kinakain nila noong oras na nakarating kami sa kanya.
They had become good friends for many years after meeting on holiday.	Naging matalik silang magkaibigan nang ilang taon matapos nilang magkakilala sa isang holiday.
They have different uses to suit different environments.	Ang mga ito ay nagkaroon ng iba't ibang mga silbi upang umangkop sa iba't ibang mga kapaligiran.
They should pay more, but they doesn't really follow the rules.	Dapat ngang mas mataas ang bayad, pero hindi naman nila sinusunod ang mga patakaran.
They stopped by at a newly opened outlet of branded clothing.	Huminto sila nang panandalian sa isang bagong bukas na bentahan ng branded na damit.
They took the extra money, but they didnt seem happy about it.	Kinuha nila ang dagdag na pera, ngunit hindi sila mukhang masaya tungkol dito.
This is going to be worse than all of those put together.	Ito ay mas masama pa kaysa sa lahat ng mga iyan na pinagsama-sama.
This is the first lesson you learn when you make traveling a habit.	Ito ang unang aralin na natututunan mo kapag gawing ugali ang paglakbay.
Thousands of years ago the greatest country, in the world was Egypt.	Noong isang libong taon ang pinakamagaling na bansa sa mundo ay ang ehipto.
To be able to be used of God to open people's.	Na gamitin ng Diyos para buksan ang mga mata ng mga tao sa katotohanan.
