$3.5 million.	$3.5 milyon.
Thirty-fifth.	Pang-tatlumpu't lima.
Thirty-first.	Pang-tatlumpu't isa.
Thirty-five.	Tatlumpu't lima.
Thirty-four.	Tatlumpu't apat.
Thirty-fourth.	Pang-tatlumpu't apat.
Thirty-nine only.	Tatlumpu't siyam lang.
Thirty-nine.	Tatlumpu't siyam.
Thirty-ninth.	Pang-tatlumpu't siyam.
Thirty-one.	Tatlumupu't isa.
Thirty-second.	Pang-tatlumpu't dalawa.
Thirty-seven.	Tatlumpu't pito.
Thirty-seventh.	Pang-tatlumpu't pito.
Thirty-six.	Tatlumpu't anim.
Thirty-sixth.	Pang-tatlumpu't anim.
Thirty-third.	Pang-tatlumpu't tatlo.
Thirty-three.	Tatlumpu't tatlo.
Thirty-two.	Tatlumpu't dalawa.
Thirty.	Tatalumpu.
This ball is red.	Ang bolang ito ay pula.
This bicycle is mine.	Ito'y aking bisikleta.
This cannot be.	Hindi ito maaari.
This doctrine.	Ang doktrinang ito.
This drink has ice.	Ang inumin ay may yelo.
This feels good.	Ang ganda nito sa pakiramdam.
This fish is big.	Malaki ang isdang ito.
This game is hard.	Ang larong ito ay mahirap.
This guy.	Sa lalaking ito.
This happened before.	Nangyari na ito dati.
This has been said before.	Nasabi na ito dati.
This has no cap.	Wala itong takip.
This helps.	Nakakatulong ito.
This house is alive.	Ang bahay ay buhay.
This hurts more.	Mas masakit ito.
This is a book.	Ito ay libro.
This is a great place.	Ito ay magandang lugar.
This is a joke, right?	Biro ito, tama?
This is a miracle.	Ito ay isang himala.
This is a pen.	Ito ay panulat.
This is an apple.	Ito ay isang mansanas.
This is an orange.	Ito ay isang orange.
This is Anna speaking.	Ako si Anna.
This is boring.	Ito ay nakakayamot.
This is boring.	Ito ay nakakabagot.
This is boring.	Nakakabagot naman ito.
This is cheap!	Ang mura nito!
This is cheap.	Mura lang ito.
This is delicious.	Masarap ito.
This is destiny.	Ito ay tadhana.
This is difficult.	Ito ay mahirap.
This is difficult.	Ang hirap nito.
This is easy.	Ito ay madali.
This is empty.	Ito ay walang laman.
This is excellent wine.	Magaling na alak ito.
This is finished.	Tapos na ito.
This is fun.	Ito ay masaya.
This is good music.	Ito ay magandang musika.
This is good.	Ito ay mabuti.
This is hard to make.	Mahirap ito gawin.
This is healthy.	Ito ay maganda sa kalusugan.
This is his head.	Ito ang kanyang ulo.
This is how it ends.	Ganito ito natatapos.
This is how we live.	Ganito tayo mamuhay.
This is just cheap.	Mura lang naman ito.
This is legal here.	Legal ito dito.
This is loose.	Ito ay maluwag.
This is Mary's dog.	Aso ni Mary ito.
This is me.	Ito ako.
This is my aunt.	Ito ay ang aking tita.
This is my bicycle.	Ito ang aking bisikleta.
This is my brainchild.	Ito ang aking anak-utak.
This is my car.	Ito ang aking kotse.
This is my daughter.	Ito ang anak kong babae.
This is my decision.	Ito ang aking desisyon.
This is my eye.	Ito ang aking mata.
This is my father.	Ito ang aking ama.
This is my father.	Ito ay ang aking tatay.
This is my friend.	Ito and aking kaibigan.
This is my grandfather.	Ito ang aking lolo.
This is my grandfather.	Ito ay ang aking lolo.
This is my grandmother.	Ito ay ang akng lola.
This is my house.	Ito ang aking bahay.
This is my mother.	Ito ang aking ina.
This is my mother.	Ito ay ang aking nanay.
This is my nose.	Ito ang aking ilong.
This is my plan.	Ito ang aking plano.
This is my right.	Ito ang aking karapatan.
This is my room.	Ito ang aking kuwarto.
This is my school.	Ito ay ang aking paaralan.
This is my uncle.	Ito ay ang aking tito.
This is never going to end.	Di ito matatapos.
This is new.	Bago ito.
This is new.	Ito ay bago.
This is no joke.	Hindi biro ito.
This is not a book.	Ito ay hindi libro.
This is not a car.	Ito ay hindi kotse.
This is not a joke.	Ito ay hindi biro.
This is not a pencil.	Ito ay hindi lapis.
This is not an ID.	Hindi naman ID ito.
This is not expensive.	Hindi naman mahal ito.
This is not funny.	Ito ay hindi nakakatuwa.
This is not good.	Ito ay hindi mabuti.
This is not love.	Hindi ito pagmamahal.
This is not possible.	Ito ay hindi pwede.
This is not right.	Ito ay hindi tama.
This is not working.	Hindi ito gumagana.
This is only the start?	Umpisa palang ito?
This is our company.	Ito ang aming samahan.
This is our company.	Ito ang samahan namin.
This is our right.	Ito an gating karapatan.
This is our time.	Oras natin ito.
This is popular.	Sikat ito.
This is quite long.	Ito ay medyo mahaba.
This is quite short.	Ito ay medyo maikli.
This is red.	Ito ay pula.
This is serious.	Ito ay seryoso.
This is small.	Ito ay maliit.
This is so hard.	Mahirap ito.
This is so hard.	Ang hirap naman nito.
This is the end.	Hangang dito na lang.
This is the end.	Ito ay ang katapusan.
This is the first time.	Eto ang unang beses.
This is the full memo.	Ito ang buong memo.
This is the last hour.	Ito na ang huling araw.
This is the real me.	Ito ang tunay na ako.
This is their company.	Ito ang samahan nila.
This is tight.	Ito ay masikip.
This is tiring.	Ito ay nakakapagod.
This is tiring.	Nakakapagod pala ito.
This is too far.	Masyado itong malayo.
This is urgent.	Ito ay mahalaga.
This is very long.	Ito ay sobrang haba.
This is what I need.	Ito ang aking kailangan.
This is what I want.	Ito ang gusto ko.
This is what I wanted.	Ito ang gusto ko.
This is what I wanted.	Ito ang ginusto ko.
This is where it ends.	Dito ito natatapos.
This is who I am.	Ito ay kung sino ako.
This is your bed.	Ito ang kama mo.
This is your bed.	Ito ang higaan mo.
This is your decision.	Desisyon mo ito.
This is your fault!	Kagagawan mo ito!
This is your fault!	Kasalanan mo ito!
This is your fault.	Kasalanan mo ito.
This isn't possible.	Di posible ito.
This meant to be.	Ito ay tadhana.
This must be changed.	Dapat itong baguhin.
This one is prettier.	Mas marikit ito.
This piano is broken.	Sira itong piano ko.
This preaching.	Sa pangangaral na ito.
This radio is out of order.	Sira itong radyo.
This ship is sinking.	Ang barko ay lumulubog.
This story is true.	Totoo itong kuwento.
This tastes like tea.	Lasa itong tsaa.
This wall feels cold.	Malamig itong pader.
This was a first.	Ito ang pinakauna.
This was all I had.	Ito lang ang meron ako.
This will hurt.	Masakit ito.
This will not work.	Hindi ito gagana.
This won't take long.	Sandali lang ito.
This works.	Gumagana ito.
Thomas is playing.	Si Thomas ay naglalaro.
Those chairs are broken!	Sira iyong mga silya!
Those chairs are broken!	Sira iyong mga upuan!
Those chairs are broken.	Sira iyong mga silya.
Those chairs are broken.	Sira iyong mga upuan.
Those tables are broken!	Sira iyong mga mesa!
Those tables are broken.	Sira iyong mga mesa.
Three days?	Tatlong araw?
Three fingers.	Tatlong daliri.
Three hundred pesos.	Tatlong daang piso.
Three large vodkas.	Tatlong malaking vodka.
Three more hours back?	Tatlong oras pabalik?
Three or four men.	Tatlo o apat na lalaki.
Three thousand pesos.	Tatlong libong piso.
Three.	Tatlo.
Throw at the ball.	Batuhin ang bola.
Throw away.	Itapon.
Throw it back to me.	Ibato mo pabalik sa akin.
Throw me away.	Itapon mo ako.
Throw me!	Ibato ninyo ako!
Throw over some at me.	Tapunan mo ako.
Throw some over at them.	Tapunan sila.
Throw some over at them.	Tapunan mo sila.
Throw that away.	Itapon mo yan.
Throw the ball now.	Ibato na ang bola.
Throw the ball.	Batuhin ng bola.
Throw the egg.	Ihagis mo ang itlog.
Throw this away.	Itapon mo ito.
Throw this ball.	Itapon mo ang bola.
Throw!	Batuhin mo!
Throwing time!	Batuhan na!
Tickling his chin.	Kiniliti ang kanyang baba.
Tie him.	Itali mo siya.
Tierone is weak.	Si Tierone ay mahina.
Will you stop that.	Tigilan mo na nga iyan.
Time has passed by.	Lumipas na ang panahon.
Time is gold.	Ang oras ay ginto.
Time is most precious.	Napakahalaga ng oras.
Time to go to sleep.	Oras na para matulog.
To all when I say.	Ang lahat ng aking sabihing.
To be famine.	Ng tag-gutom.
To close our Bible.	Maisara ang ating Bibliya.
To his head.	Sa kanyang ulo.
To love is nonsense.	Kalokohan ang umibig.
To love is not wrong.	Hindi mali ang magmahal.
To mess with us.	Sumusobok na guluhin tayo.
To pastors all the time.	Ang mga pastor palagi.
To the hotel, sir?	Sa hotel po ba, sir?
To the image reader.	Sa image reader.
To the post-trib.	Sa bago ang kapighatian.
To watch for.	Ating dapat bantayan.
Today is a holiday.	Bakasyon ngayong araw.
Today is Christmas.	Ngayong araw ay Pasko.
Today is Friday.	Biyernes ngayon.
Today is Friday.	Ngayon ay Biyernes.
Today is Monday.	Ngayon ay Lunes.
Today is New Year.	Ngayong araw ay Bagong Taon.
Today is Saturday.	Ngayon ay Sabado.
Today is so hot.	Napakainit ngayong araw.
Today is Sunday.	Ngayon ay Linggo.
Today is Thursday.	Ngayon ay Huwebes.
Today is Tuesday.	Ngayon ay Martes.
Today is Tuesday.	Ngayon ay Miyerkules.
Today is Wednesday.	Ngayon ay Martes.
Today is Wednesday.	Ngayon ay Miyerkules.
Today is your birthday.	Kaarawan mo ngayon.
Today, we fight!	Ngayon, tayo ay lalaban!
Today's date.	Petsa ngayon.
Together they are the magical bears.	Sila ang mahikal na mga oso.
Tom already knows.	Alam na ni Tom.
Tom already left.	Umalis na si Tom.
Tom answered immediately.	Sumagod agad si Tom.
Tom answered quickly.	Agarang sumagot si Tom.
Tom answered.	Sumagot si Tomas.
Tom applauded.	Pumalakpak si Tomas.
Tom approached.	Lumapit si Tomas.
Tom arrived early.	Maagang nakarating si Tom.
Tom arrived early.	Si Tom ay maagang dumating.
Tom arrived last.	Huling dumating si Tomas.
Tom arrived late.	Huli nang dumating si Tom.
Tom arrived yesterday.	Dumating si Tom kahapon.
Tom ate quickly.	Mabilis na kumain si Tom.
Tom came back early.	Bumalik nang maaga si Tom.
Tom came early.	Maagang dumating si Tom.
Tom came early.	Si Tom ay dumating nang maaga.
Tom came yesterday.	Dumating si Tom kahapon.
Tom can see.	Nakakakita si Tom.
Tom can't read yet.	Hindi pa nakakabasa si Tom.
Tom chased after Mary.	Hinabol ni Tom si Mary.
Tom chuckled.	Tumawa si Tomas.
Tom confessed.	Umamin si Tomas.
Tom dashed after Mary.	Hinabol ni Tom si Mary.
Tom didn't go after all.	Hindi pumunta si Tom .
Tom died yesterday.	Namatay si Tom kahapon.
Tom drives.	Marunong magmaneho si Tom.
Tom drove fast.	Mabilis magmaneho si Tom.
Tom drove home.	Nagmaneho si Tom pauwi.
Tom gets bored quickly.	Mabilis mabagot si Tom.
Tom gets up early.	Maagang bumabangon si Tom.
Tom gets up early.	Si Tom ay maagang gumising.
Tom got bored quickly.	Nabagod agad si Tom.
Tom got up late.	Huli nang bumangon si Tom.
Tom has a black car.	May itim na kotse si Tom.
Tom has a blue car.	May bughaw na kotse si Tom.
Tom has a purple car.	May lila na kotse si Tom.
Tom has a red car.	May pulang kotse si Tom.
Tom has a white car.	May puti na kotse si Tom.
Tom hugged me.	Niyakap ako ni Tomas.
Tom intervened.	Namagitan si Tomas.
Tom is after me.	Ako ang habol ni Tom.
Tom is already late.	Huli na talaga si tom.
Tom is already up.	Gising na si Tom.
Tom is always late.	Palaging huli si Tom.
Tom is driven.	Hinihimok si Tom.
Tom is driving.	Nagmamaneho si Tom.
Tom is generous.	Si Tom ay mapagbigay.
Tom is late.	Huli si Tom.
Tom is never late.	Hindi nahuhuli si Tom.
Tom is off tonight.	Off si Tom ngayong gabi.
Tom is past thirty.	Lagpas trenta na si Tom.
Tom is rarely late.	Bihirang mahuli si Tom.
Tom is running late.	Nahuhuli na si Tom.
Tom is seldom late.	Madalang mahuli si Tom.
Tom is too late.	Masyado nang huli si Tom.
Tom isn't done yet.	Hindi pa tapos si Tom.
Tom isn't here yet.	Wala pa rito si Tom.
Tom isn't home yet.	Hindi pa nakakauwi si Tom.
Tom isn't inside yet.	Wala pa sa loob si Tom.
Tom isn't ready yet.	Di pa handa si Tomas.
Tom isn't safe yet.	Hindi pa ligtas si Tom.
Tom isn't scared.	Hindi takot si Tom.
Tom isn't up yet.	Hindi pa gising si Tom.
Tom left a while ago.	Kakaalis lang ni Tom.
Tom left earlier.	Umalis na si Tom kanina.
Tom left early.	Maagang umalis si Tom.
Tom left early.	Si Tom ay umalis nang maaga.
Tom left hours ago.	Umalis si Tom kanina pa.
Tom left hours ago.	Kanina pa nakaalis si Tom.
Tom left immediately.	Umalis agad si Tom.
Tom left quickly.	Mabilis na umalis si Tom.
Tom lies.	Nagsisinungaling si Tomas.
Tom likes swimming.	Gusto ni Tomas lumangoy.
Tom likes traveling.	Mahilig si Tom maglakbay.
Tom listened.	Nakinig si Tomas.
Tom loved me.	Minahal ako ni Tomas.
Tom loves me.	Mahal ako ni Tomas.
Tom moved quickly.	Mabilis na kumilos si Tom.
Tom nodded immediately.	Tumango agad si Tom.
Tom nodded once.	Tumango si Tom ng isang beses.
Tom nodded quickly.	Mabilis na tumungo si Tom.
Tom paid.	Nagbayad si Tomas.
Tom ran after Mary.	Hinabol ni Tom si Mary.
Tom recovered quickly.	Nakabawi agad si Tom.
Tom remembered.	Naalala ni Tomas.
Tom remembers.	Naaalala ni Tomas.
Tom returned immediately.	Bumalik agad si Tom.
Tom screamed.	Sumigaw si Tomas.
Tom seldom laughs.	Minsan lang tumatawa si Tom.
Tom slept in tears.	Natulog si Tom na lumuluha.
Tom slept late.	Huli nang natulog si tom.
Tom speaks quickly.	Mabilis magsalita si Tom.
Tom spoke quickly.	Mabilis na nagsalita si Tom.
Tom stayed here once.	Tumira dito si Tom dati.
Tom stayed late.	Nagpahuli si Tom.
Tom stayed up late.	Nagpuyat si Tom.
Tom stood quickly.	Mabilisang tumayo si Tom.
Tom swam yesterday.	Lumangoy si Tom kahapon.
Tom talks quickly.	Mabilis magsalita si Tom.
Tom turned quickly.	Mabilis na umikot si Tom.
Tom understood.	Naiintindihan ni Tomas.
Tom volunteers.	Nagboluntaryo si Tomas.
Tom wanted to travel.	Gusto ni Tom maglakbay.
Tom wants to talk.	Gusto ni Tomas magsalita.
Tom was a bit late.	Medyo nahuli si Tom.
Tom was a little early.	Medyo maaga si Tom.
Tom was a little late.	Medyo nahuli si Tom.
Tom was here yesterday.	Nandito si Tom kahapon.
Tom was hurt.	Nasaktan si Tom.
Tom was late for class.	Nahuli si Tom sa klase.
Tom was late.	Nahuli si Tom.
Tom was very late.	Huling-huli si Tom.
Tom was wrong yesterday.	Mali si Tom kahapon.
Tom wasn't traveling.	Hindi naglakbay si Tom.
Tom will be here tomorrow.	Nandito sila bukas.
Tom will be in later.	Nandito si Tom mamaya.
Tom will come early.	Maagang darating si Tom.
Tom will drive.	Magmamaneho si Tom.
Tom will like me.	Magugustuhan ako ni Tomas.
Tom works hard.	Si Tom ay nagsumikap.
Tom's a liar.	Sinungaling si Tomas.
Tom's early.	Maaga si Tom.
Tom's early.	Si Tom ay maaga.
Tomato is cheap.	Mura ang kamatis .
Tomato is cheaper.	Mas mura ang kamatis .
Tomato is expensive.	Mahal ang kamatis .
Tomato is nutritious.	Masustansya ang kamatis.
Tomato is very cheap.	Napakamura ng kamatis .
Tomatoes are delicious.	Masarap ang mga kamatis.
Tomorrow again.	Bukas naman.
Tomorrow is a holiday.	Bakasyon bukas.
Tomorrow is a new day.	Bukas ay bagong umaga.
Tomorrow is Christmas Day.	Bukas ay Pasko na.
Tomorrow is Christmas.	Bukas ay Pasko.
Tomorrow is Christmas.	Pasko na bukas.
Tomorrow is fine.	Pwede bukas.
Tomorrow is my birthday.	Bukas ang kaarawan ko.
Tomorrow is Sunday.	Bukas ay Linggo.
Tomorrow is Wednesday.	Bukas ay Miyerkules.
Tomorrow it starts.	Bukas magsisimula ito.
Tomorrow, you'll leave.	Bukas ay aalis ka na.
Tomorrow's a holiday.	Bakasyon bukas.
Tomorrow's my birthday.	Bukas ang aarawan ko.
Tomorrow's no good.	Hindi pwede bukas.
Tomorrow's trash day.	Araw ng basura bukas.
Tonight sounds good.	Mukhang ayos ngayong gabi.
Tonight sounds good.	Maganda ang mamayang gabi.
Tonight?	Ngayong gabi?
Too cold!	Masyadong malamig!
Too expensive.	Masyadong mahal.
Too far!	Masyadong malayo!
Too hot!	Masyadong mainit!
Too late.	Huli na.
Too much.	Sobra.
Toss at it now.	Hagisan na.
Toss at the ball.	Hagisan ang bola.
Toss me your wallet.	Akin na ang pitaka mo.
Toss me!	Ihagis ninyo ako!
Toss the ball at it.	Hagisan ng bola.
Toss the ball now.	Ihagis na ang bola.
Toss!	Hagis!
Tossing time!	Hagisan na!
Touch me not.	Huwag mo akong salingin.
Train yourself.	Sanayin mo ang sarili mo.
Training ended.	Nagtapos ang pagsasanay.
Travel well.	Maglakbay nang maayos.
Trees are sturdy.	Matibay ang mga puno.
Tribulation.	Kapighatian.
True or false.	Tama o mali.
Truly saved.	Tunay na ligtas.
Trust him.	Pagkatiwalaan mo siya.
Trust in God.	Paniwalaan ang Diyos.
Trust me.	Magtiwala ka sa akin.
Try again.	Subukan mo ulit.
Try it now.	Subukan mo ngayon.
Try it on.	Subukan mo ito.
Try it, maybe?	Subukan mo, siguro?
Try it!	Subukan mo!
Try it.	Subukan mo.
Try me.	Subukan mo ako.
Try once again.	Subukan mo uli.
Try that.	Subukan mo iyan.
Try this.	Subukan mo ito.
Turn around quickly.	Tumalikod ka ng mabilis.
Turn around.	Umikot.
Turn around.	Tumalikod ka.
Turn left.	Kumaliwa.
Turn left.	Lumiko ka sa kaliwa.
Turn off the light.	Patayin ang ilaw.
Turn off the lights.	Patayin mo ang ilaw.
Turn off the lights.	Patayin moa ng ilaw.
Turn on the aircon!	Buksan ang aircon!
Turn on the computer.	Buksan mo ang computer.
Turn on the lights.	Buksan mo ang ilaw.
Turn on the lights.	Buksan nyo ang mga ilaw.
Turn right there.	Lumiko ka diyan.
Turn right.	Kumanan.
Turn right.	Lumiko ka sa kanan.
Turn slowly.	Dahan-dahan sa pag-liko.
Turn your face this way.	Lingon ka dito.
Turnip is cheap.	Mura ang singkamas.
Turnip is cheaper.	Mas mura ang singkamas.
Turnip is expensive.	Mahal ang singkamas.
Turnip is very cheap.	Napakamura ng singkamas.
Turtles are green.	Berde ang mga pagong.
Turtles are old.	Matanda ang mga pagong.
Turtles are slow.	Mabagal ang mga pagong.
Twelfth in line.	Pang-labindalawa sa pila.
Twelve kilograms.	Labindalawang kilo.
Twelve.	Labindalawa.
Twenty-fifth.	Pang-dalawampu't lima.
Twentieth in line.	Pang-dalawampu sa pila.
Twenty kilograms.	Dalawampung kilo.
Twenty thousand yen.	Dalawampung libong yen.
Twenty-eight.	Dalawampu't walo.
Twenty-eighth.	Pang-dalawampu't walo.
Twenty-five.	Dalawampu't lima.
Twenty-four.	Dalawampu't apat.
Twenty-fourth.	Pang-dalawampu't apat.
Twenty-nine.	Dalawampu't siyam.
Twenty-ninth.	Pang-dalawampu't siyam.
Twenty-one.	Dalawampu't isa.
Twenty-seven.	Dalawampu't pito.
Twenty-seventh.	Pang-dalawampu't pito.
Twenty-six.	Dalawampu't anim.
Twenty-sixth.	Pang-dalawampu't anim.
Twenty-third.	Pang-dalawampu't tatlo.
Twenty-three.	Dalawampu't tatlo.
Twenty-two.	Dalawampu't dalawa.
Twenty.	Dalawampu.
Twist it.	Babligtarin ito.
Two fingers.	Dalawang daliri.
Two hours?	Dalawang oras pa?
Two hundred meters.	Dalawang daang metro.
Two hundred pesos.	Dalawang daang piso.
Two in a row!	Dalawang magkasunod!
Two in the afternoon.	Alas dos ngayong hapon.
Two more points.	Dalawang puntos pa.
Two per bag.	Dalawa bawat bag.
Two points remaining.	Dalawang puntos na lang.
Two thousand pesos.	Dalawang libong piso.
Two thousand.	Dalawang libo.
Two weeks.	Dalawang linggo.
Two.	Dalawa.
Unbelievable!	Hindi kapanipaniwala!
Uncle do you have change?	May barya ka tito?
Under 2 minutes.	Sa ilalim ng 2 minuto.
Understand?	Naiintindihan mo ba?
Untie the ropes.	Kalasin ang mga lubid.
Up of one person.	Pa-akyat ng isang tao.
Up to be with him.	Pataas para makasama niya.
Up today.	Paakyat ngayon.
Urgently!	Ngayon din!
Us.	Tayo.
Use a knife.	Gumamit ka ng kutsilyo.
Use gloves.	Gumamit ka ng guwantes.
Use this.	Gamitin mo ito.
Use your brain.	Gamitin mo ang utak mo.
Use your brain.	Gamitin moa ng iyong utak.
Use your palm.	Gamitin mo ang palad mo.
Use your size.	Gamitin moa ng laki mo.
Useless teacher.	Walang kuwentang guro.
Vacation is long.	Mahaba ang bakasyon.
Valens was seventeen.	Si Valen ay labimpito.
Vast knowledge.	Maraming kaalaman.
Verily.	Alamin kung totoo.
Verse 24:.	Bersikulo 24:.
Very cheap price.	Murang-mura lang.
Very cheerful, no?	Tuwang-tuwa, hindi ba?
Very close!	Masyadong malapit!
Very complicated.	Napaka-komplikado.
Very fast.	Napakabilis.
Very good.	Napakabuti.
Visit us tomorrow.	Bisitahin niyo kami bukas.
Volcanoes erupt.	Sumasabog ang mga bulkan.
Vulgar kid!	Napakabastos na bata!
Wait a minute, Dulce.	Sandali lang, Dulce.
Wait a minute!	Sandali lang nga!
Wait first.	Hintayin mo muna.
Wait for it.	Hintayin mo.
Wait for me here.	Hintayin mo ako dito.
Wait for me!	Hintayin mo ako!
Wait for me.	Hintayin mo ako.
Wait for me.	Hintayin niyo ako.
Wait here.	Maghintay ka rito.
Wait here.	Maghintay ka dito.
Wait outside.	Magintay ka sa labas.
Wait until dark.	Maghintay ka hanggang dumilim.
Wait up!	Hintay!
Wait!	Hintay!
Wait!	Sandali lang!
Wake them all up.	Gisingin mo silang lahat.
Wake up!	Gising na!
Wake up.	Gumising ka.
We don't have time.	Wala na tayong oras.
There is no God.	Walang Diyos.
Walk slowly.	Lumakad ka nang mabagal.
Walk slowly.	Bagalan mo ang iyong paglakad.
Walk straightly.	Lumakad ka nang tuwid.
Walking is fun.	Masaya ang paglalakad.
Walking is tiring.	Nakakapagod ang paglalakad.
Want to shoot us?	Gusto mo ba kaming barilin?
Want a demonstration?	Gusto mo ng halimbawa?
Want a shave?	Magpapaahit kayo?
Want to go fishing?	Gusto mo bang mangisda?
Wants to hear.	Na marinig.
War is a duty.	Digmaan ay isang tungkulin.
Was he now there?	Naroon na ba siya ngayon?
Was I mistaken?	Mali ba ako?
Was it cold yesterday?	Malamig ba kahapon?
Was it worth it?	Sulit ba?
Was she terrifying?	Nakakasindak ba sya?
Was the lesson hard?	Mahirap ba ang aralin?
Was this your plan?	Ano ang plano mo?
Wash it.	Hugasan mo iyan.
Wash your face first.	Maghilamos ka muna.
Wash your face.	Hugasan mo ang iyong mukha.
Watch a documentary.	Manood ng dokumentaryo.
Watch carefully.	Maingat na panoorin.
Watch him.	Panoorin mo siya.
Watch it.	Panoorin mo iyan.
Watch me.	Panoorin mo ako.
Watch my back.	Tingnan mo ang likod mo.
Watch out!	Tumingin ka!
Watch this.	Panoorin mo 'to.
Watch this.	Panoorin mo ito.
Watch your back!	Bantayan mo ang likod mo!
Water freezes.	Ang tubig ay nagiging yelo.
Water into blood.	Dugo ang tubig.
Water is drunk.	Ang tubig ay iniinom.
Water is important.	Mahalaga ang tubig.
Water the plants.	Diligan ang mga halaman.
Water the plants.	Diligan mo ang mga halaman.
Watermelons are round.	Bilog ang mga pakwan.
Wax gourd is cheap.	Mura ang kundol.
Wax gourd is cheaper.	Mas mura ang kundol.
Wax gourd is expensive.	Mahal ang kundol.
Wax gourd is very cheap.	Napakamura ng kundol.
We accept cash.	Tumatanggap kami ng cash.
We agreed.	Sumang-ayon tayo.
We already ate.	Kumain na kami.
We already know.	Alam na namin.
We already talked.	Nagusap na kami.
We already tried.	Sinubukan na namin.
We answered already.	Nagsagot na kami.
We answered.	Nagsagot kami.
We are alive.	Buhay kami.
We are all equal.	Pantay-pantay tayong lahat.
We are all geniuses.	Tayo ay mga henyo.
We are all here.	Nandito kaming lahat.
We are all special.	Lahat tayo ay natatangi.
We are all unique.	Lahat tayo ay kakaiba.
We are almost there.	Malapit na tayo.
We are almost there.	Malapit na tayo roon.
We are already here.	Nandito na tayo.
We are already separated.	Hiwalay na kami.
We are at the pharmacy.	Nasa parmasya kami.
We are beautiful.	Maganda kami.
We are building.	Binubuo namin.
We are caring for her.	Inaalagaan niya kami.
We are caring for him.	Inaalagaan niya kami.
We are caring for them.	Inaalagaan niya kami.
We are dehydrated.	Dehydrated kami.
We are depressed.	Nalulumbay kami.
We are donating blood.	Nagbibigay kami ng dugo.
We are drinking water.	Umiinom kami ng tubig.
We are dumb.	Bobo kami.
We are excited.	Nasasabik kami.
We are exercising.	Nageehersisyo kami.
We are far from home.	Malayo tayo sa tahanan.
We are feeling hot.	Mainit kami.
We are Filipinos.	Tayo ay mga Pilipino.
We are finished.	Tapos na tayo.
We are friends.	Tayo ay magkaibigan.
We are friends.	Tayo ay magkakaibigan.
We are getting sick.	Nagkakasakit kami.
We are giving blood.	Nagbibigay kami ng dugo.
We are going home.	Uuwi na kami.
We are going to escape.	Tatakas tayo.
We are going to feel better.	Gagaling kami.
We are going to rehab.	Pumupunta kami sa rehab.
We are going.	Aalis na tayo.
We are halfway there.	Nangangalahati na tayo.
We are hallucinating.	Naghahalusinasyon kami.
We are handsome.	Pogi tayo.
We are happy.	Masaya kami.
We are having a good time.	Nagkakasayihan kami.
We are healthy.	Malusog kami.
We are in a seminar.	Kami ay nasa seminar.
We are in denial.	Hindi niya matanggap-tanggap.
We are in shock.	Laking gulat niya.
We are in the ER.	Nasa loob kami ng ER.
We are leaving.	Aalis kami.
We are looking for her.	Hinahanap niya kami.
We are looking for him.	Hinahanap niya kami.
We are looking for them.	Hinahanap niya kami.
We are massaging her.	Minamasahe niya kami.
We are massaging him.	Minamasahe niya kami.
We are moving there.	Lilipat tayo diyan.
We are neighbors.	Tayo ay magkapitbahay.
We are nervous.	Kinakabahan kami.
We are no longer sick.	Wala na kaming sakit.
We are not coming.	Hindi kami sasama.
We are not going.	Hindi kami pupunta.
We are not talking.	Hindi kami nagsasalita.
We are not together.	Hindi tayo magkasama.
We are nurses.	Tayoay mga nars.
We are one.	Tayo ay iisa.
We are performing surgery.	Nag-oopera sila.
We are planning.	Pinagpaplanuhan namin.
We are praying.	Nagdadasal kami.
We are searching for her.	Hinahanap niya kami.
We are searching for him.	Hinahanap niya kami.
We are searching for them.	Hinahanap niya kami.
We are showering her.	Pinapaliguan niya kami.
We are showering him.	Pinapaliguan niya kami.
We are sick.	May sakit kami.
We are sleepy.	Inaantok na ako.
We are smelly.	Mabaho kami.
We are so few.	Ang konti lang natin.
We are so high up.	Sobrang taas na natin.
We are sweating here.	Pinapawisan na kami dito.
We are sweaty.	Pinagpapawisan kami.
We are the champions.	Tayo ang mga kampeyon.
We are tired.	Pagod na ako.
We are vaccinated.	Nabakanuhan kami.
We are very noisy.	Maingay kami.
We are very sweaty.	Pawis na pawis na kami.
We are visiting her.	Binibisita niya kami.
We are visiting him.	Binibisita niya kami.
We are visiting them.	Binibisita niya sila.
We are vomiting.	Sumusuka kami.
We are waiting.	Naghihintay kami.
We are waiting.	Kami ay naghihintay.
We aren't dead yet.	Hindi pa kami patay.
We aren't like that.	Hindi kami ganun.
We arrived first.	Nauna tayong dumating.
We arrived in korea.	Dumating kami sa Korea.
We asked for blood.	Humingi kami ng dugo.
We asked for medicine.	Humingi kami ng gamot.
We ate a banana.	Kumain kami ng saging.
We ate an apple.	Kumain kami ng mansanas.
We ate apples.	Kumain kami ng mga mansanas.
We ate bananas.	Kumain kami ng mga saging.
We ate beans.	Kumain kami ng mga sitaw.
We ate cake.	Kumain kami ng keyk.
We ate chocolate.	Kumain kami ng tsokolate.
We ate crackers.	Kumain kami ng mga kraker.
We ate eggs.	Kumain kami ng mga itlog.
We ate fudge.	Kumain kami ng tsokolate.
We ate today.	Kumain kami ngayong araw.
We ate tonight.	Kumain kami ngayong gabi.
We ate yesterday.	Kumain kami kahapon.
We believe.	Naniniwala kami.
We believe.	Naniniwala tayo.
We believed.	Naniwala kami.
We believed.	Naniwala tayo.
