Good morning, he said.	Magandang umaga, sinabi niya.
The leaves will grow again.	Ang mga dahoon ay tutubo ulit.
The leg of the chair broke.	Nabali ang paa ng upuan.
The lemon is exceptional.	Katangi-tangi ang limon.
The lemon is nutritious.	Masustansya ang limon.
The lesson is confusing.	Nakakalito ang aralin.
The letters are reversed.	Ang mga titik ay nagkabaliktad.
The lettuce is artificial.	Artipisyal ang litsugas.
The lettuce is beautiful.	Maganda ang litsugas.
The lettuce is delicious.	Masarap ang litsugas.
The lettuce is exceptional.	Katangi-tangi ang litsugas.
The lettuce is fragrant.	Mahalimuyak ang litsugas.
The lettuce is inadequate.	Kulang ang litsugas.
The lettuce is nutritious.	Masustansya ang litsugas.
The lettuce is tasteless.	Matabang ang litsugas.
The lettuce is valuable.	Mahalaga ang litsugas.
The library is cold.	Ang silid aklatan ay malamig.
The library is here.	Nandito ang silid-aklatan.
The library is quiet.	Ang silid-aklatan ay tahimik.
The library is there.	Naroon ang silid-aklatan.
The library is there.	Nandoon ang silid-aklatan.
The lice all loved her.	Mahal siya ng lahat ng kuto.
The lice are in favor of your plan.	Pabor sila sa plano mo.
The lice believe in god.	Naniniwala ang lisa sa diyos.
The lice can't sleep.	Hindi ang lisa makatulog.
The lice do not want to rest.	Ayaw ang lisang magpahinga.
The lice dried themselves in the sun.	Nagbilad sila sa araw.
The lice find swimming fun.	Natutuwa ang lisa sa paglalangoy.
The lice had intended to go there.	Balak ang lisang pumaroon.
The lice have class tomorrow.	May klase ang lisa bukas.
The lice have to leave.	Kailangan ang lisang umalis.
The lice just want to sleep.	Gusto ang lisa lang matulog.
The lice know that she is cute.	Alam ang lisang kyut siya.
The lice know you are clever.	Alam ang lisang matalino ka.
The lice know you know.	Alam ang lisang alam mo.
The lice like turtles.	Gusto ang lisa ang mga pagong.
The lice like your mirror.	Gusto ang lisa ang salamin mo.
The lice listen to music.	Nakikinig ang lisa sa musika.
The lice lost an earring.	Nawalan ang lisa ng hikaw.
The lice may die tomorrow.	Maaari ang lisang mamatay bukas.
The lice opened the box.	Binuksan ng mga kuto ang kahon.
The lice play piano.	Tumutugtog ang lisa ng piano.
The lice set out on a picnic.	Umalis sila para magpiknik.
The lice stopped the music.	Pinigil nila ang musika.
The lice swim every day.	Naglalangoy ang lisa araw-araw.
The lice vacationed together.	Magkasama silang nagbakasyon.
The lice will allow this.	Papayagan ang lisa ito.
The lice wish the lice had one.	Sana meron din ang lisa.
The lice wish the lice were a bird.	Sana'y ang lisa'y ibon.
The lice won't lose anything.	Walang mawawala sa akin.
The lice won't stand for this.	Hindi maaari ito.
The lice work as a salesman.	Ahente ang trabaho ang lisa.
The light is being given by him.	Ang ilaw ay binibigay niya.
The light is brighter here.	Mas malinaw ang ilaw dito.
The light is given by him.	Ang ilaw ay binigay niya.
The light is so bright.	Ang ilaw ay masyadong maliwanag.
The light is too bright.	Ang ilaw ay masyadong maliwanag.
The light looks blue.	Ang ilaw ang mukhang asul.
The light will be given by him.	Ang ilaw ay ibibigay niya.
The lights were moving.	Ang mga ilaw ay gumagalaw.
The lilac is exceptional.	Katangi-tangi ang lila.
The lime is exceptional.	Katangi-tangi ang dayap.
The line does not move on.	Hindi umuusad ang linya.
The lion is not special.	Hindi espesyal ang leon.
The lion presents evidence.	Naghain ng ebidensya ang leon.
The lion sees a light.	Nakakita ang leon ng ilaw.
The lion walks around.	Naglakad lakad ang leon sa paligid.
The lizard did see him.	Nakita ng butiki nga siya.
The lizard didn't kiss tom.	Hindi ng butiki hinalikan si tom.
The lizard didn't see anything.	Wala ang butiki nakita.
The lizard do not have time.	Wala ang butiki oras.
The lizard drink coffee.	Umiinom ang butiki ng kape.
The lizard feel something.	Mayroon ang butiki nararamdaman.
The lizard fell for the trap.	Nahulog sa patibong ang butiki.
The lizard hurried home.	Binilisan ng butiki umuwi.
The lizard just finished.	Kakatapos ng butiki lang.
The lizard like that dog.	Gusto ng butiki yung asong yun.
The lizard like you.	May gusto ang butiki sa iyo.
The lizard like your dog.	Gusto ng butiki yung aso mo.
The lizard lost an earring.	Nawalan ang butiki ng hikaw.
The lizard love astronomy.	Mahal ng butiki ang astronomiya.
The lizard love bananas.	Mahal ng butiki ang saging.
The lizard saw an airplane.	Nakita ng butiki ang eroplano.
The lizard saw something.	May nakita ang butiki.
The lizard saw tom there.	Nakita ng butiki si tom doon.
The lizard still remembers you.	Naaalala ka pa ng butiki.
The lizard told a joke.	Nagsabi ng biro ang butiki.
The lizard want to drink.	Gusto ng butiki uminom.
The lizard will call him.	Tatawagin ng butiki siya.
The lizard will get some ice.	Kukuha ang butiki ng yelo.
The lizards both coughed.	Parehas umubo yung mga butiki.
The lizards can all shoot.	Kayang bumaril ng lahat ng butiki.
The lizards have the horse.	Nasa kang mga butiki yung kabayo.
The lizards lost again.	Natalo nanaman ang mga butiki.
The lizards were lucky.	Sinuwerte ang mga butiki.
The Lord will descend.	Ang Panginoon ay bababa.
The louse barely spoke.	Bihirang magsalita ang kuto.
The louse believes me.	Naniniwala sa akin ang kuto.
The louse just kept dying.	Namamatay lang yung kuto.
The lucky bull faints.	Hinimatay ang maswerteng toro.
The lucky bull wakes up.	Nagising ang maswerteng toro.
The lucky kitten faints.	Hinimatay ang maswerteng kuting.
The lucky kitten wakes up.	Nagising ang maswerteng kuting.
The lucky pig faints.	Hinimatay ang maswerteng baboy.
The lucky pig wakes up.	Nagising ang maswerteng baboy.
The lunch is eaten by him.	Ang tanghalian ay kinain niya.
The lychee is artificial.	Artipisyal ang alpay.
The lychee is exceptional.	Katangi-tangi ang alpay.
The lychee is nutritious.	Masustansya ang alpay.
The mackerel is delicious.	Ang sarap ng tangigi.
The magical bears fight.	Lmaban ang mahikal na mga oso.
The magical bears head home.	Ang mahikal na mga oso ay umuwi.
The magical bears win.	Nanalo ang mahikal na mga oso.
The magical goats fight.	Lmaban ang mahikal na mga kambing.
The magical goats win.	Nanalo ang mahikal na mga kambing.
The magnolia is appropriate.	Akma ang magnolya.
The magnolia is artificial.	Artipisyal ang magnolya.
The magnolia is beautiful.	Maganda ang magnolya.
The magnolia is brown.	Kayumanggi ang magnolya.
The magnolia is colorful.	Makulay ang magnolya.
The magnolia is delicious.	Masarap ang magnolya.
The magnolia is dusty.	Maalikabok ang magnolya.
The magnolia is effective.	Mabisa ang magnolya.
The magnolia is exceptional.	Katangi-tangi ang magnolya.
The magnolia is fragrant.	Mahalimuyak ang magnolya.
The magnolia is inadequate.	Kulang ang magnolya.
The magnolia is nutritious.	Masustansya ang magnolya.
The magnolia is perfect.	Perpekto ang magnolya.
The magnolia is prohibited.	Bawal ang magnolya.
The magnolia is slippery.	Madulas ang magnolya.
The magnolia is special.	Espesyal ang magnolya.
The magnolia is tasteless.	Matabang ang magnolya.
The magnolia is valuable.	Mahalaga ang magnolya.
The maid was nice to me.	Mabait ang katulong na iyon sa akin.
The man is carrying the box.	Binubuhat ng lalaki ang kahon.
The man's butt is stuck.	Naipit ang pwet ng mama.
The mango is artificial.	Artipisyal ang mangga.
The mango is delicious.	Ang mangga ay masarap.
The mango is exceptional.	Katangi-tangi ang mangga.
The mango is nutritious.	Masustansya ang mangga.
The match still went on.	Nagpatuloy pa rin ang laro.
The meeting is tomorrow.	ang pagtitipon ay bukas na.
The melon is exceptional.	Katangi-tangi ang milon.
The melon is nutritious.	Masustansya ang milon.
The memories are priceless.	Ang mga alala ay hindi mabibili.
The message is delayed.	Ang mensahe ay naantala.
The middle chair is broken!	Sira ang gitnang silya!
The middle chair is broken!	Sira ang gitnang upuan!
The middle chair is broken.	Sira ang gitnang silya.
The middle chair is broken.	Sira ang gitnang upuan.
The middle computer is broken!	Sira ang gitnang kompyuter!
The middle computer is broken.	Sira ang gitnang kompyuter.
The middle table is broken!	Sira ang gitnang mesa!
The middle table is broken.	Sira ang gitnang mesa.
The moment is still there.	Ang sandali ay naroon pa rin.
The money was in the car.	Ang pera ay nasa kotse.
The monkey climbs a tree.	Umaakyat ng puno ang unggoy.
The monkey eats a banana.	Kumain ng saging ang unggoy.
The monkey feel really proud.	Sobrang mapagmataas ng unggoy.
The monkey is eating a banana.	Kumakain ng saging ang unggoy.
The monkey is sitting idly.	Nakaupo nang tamad ang unggoy.
The monkey knows how to steal.	Marunong magnakaw ang unggoy.
The monkey love to entertain.	Gustong magpatawa ng unggoy.
The monkey popped the balloon.	Pinutok ng unggoy ang lobo.
The monkey sat on the throne.	Umupo sa trono ang unggoy.
The monkey seriously doubt it.	Nagdududa ang unggoy.
The monkey's arm is huge.	Malaki ang braso ng unggoy.
The monkeys are ignoring you.	Iniiwasan ka ng mga unggoy.
The monkeys can't go.	Hindi makaalis ang mga unggoy.
The monkeys do like you.	Gusto ka ng mga unggoy.
The monkeys hurt him.	Sinaktan siya ng mga unggoy.
The monkeys meant well.	Mabuti ang intensyon ng mga unggoy.
The monkeys must be dead.	Patay na siguro ang mga unggoy.
The monkeys studied the map.	Inaral ng mga unggoy ang mapa.
The monster has 7 feet.	Ang halimaw ay may pitong paa.
The monsters are getting stronger.	Lumalakas ang mga halimaw.
The monsters retaliate.	Bumalik ang mga halimaw.
The month before last.	Noong nakaraang dalawang buwan.
The moon appears gigantic.	Nagiging parang higante ang buwan.
The moon changes shape.	Nagpapalit ng hugis ang buwan.
The moon is shining brightly.	Ang buwan ay kimukinang.
The moon looks like cheese.	Mukhang keso ang buwan.
The moon shines at night.	Lumiliwanag ang buwan sa gabi.
The moringga is appropriate.	Akma ang malunggay.
The moringga is artificial.	Artipisyal ang malunggay.
The moringga is beautiful.	Maganda ang malunggay.
The moringga is brown.	Kayumanggi ang malunggay.
The moringga is colorful.	Makulay ang malunggay.
The moringga is costly.	Magastos ang malunggay.
The moringga is delicious.	Masarap ang malunggay.
The moringga is destroyed.	Wasak ang malunggay.
The moringga is dusty.	Maalikabok ang malunggay.
The moringga is effective.	Mabisa ang malunggay.
The moringga is exceptional.	Katangi-tangi ang malunggay.
The moringga is expensive.	Mahal ang malunggay.
The moringga is fragrant.	Mahalimuyak ang malunggay.
The moringga is healthy.	Malusog ang malunggay.
The moringga is inadequate.	Kulang ang malunggay.
The moringga is natural.	Natural ang malunggay.
The moringga is nutritious.	Masustansya ang malunggay.
The moringga is perfect.	Perpekto ang malunggay.
The moringga is prohibited.	Bawal ang malunggay.
The moringga is slippery.	Madulas ang malunggay.
The moringga is special.	Espesyal ang malunggay.
The moringga is spicy.	Maanghang ang malunggay.
The moringga is sticky.	Malagkit ang malunggay.
The moringga is strange.	Kakaiba ang malunggay.
The moringga is tasteless.	Matabang ang malunggay.
The moringga is valuable.	Mahalaga ang malunggay.
The mosquito do not quite know.	Hindi gaanong alam ng lamok.
The mosquito hate computers.	Ayaw ng lamok sa mga kompyuter.
The mosquito like the idea.	Nagustuhan ng lamok ang ideya.
The mosquito love twilight.	Mahal ng lamok ang takipsilim.
The mosquito see something.	May nakita ang lamok.
The mosquitoes agreed to it.	Pumayag ang mga lamok.
The mosquitoes all sat.	Umupo ang lahat ng mga lamok.
The mosquitoes all screamed.	Ang mga lamok ay sumigaw lahat.
The mosquitoes are all dead.	Patay ang mga lamok.
The mosquitoes are so beautiful.	Ang mga lamok ay magaganda.
The mosquitoes are unemployed.	Walang trabaho ang mga lamok.
The mosquitoes didn't show up.	Hindi nagpakita ang mga lamok.
The mosquitoes folded one.	Nagtupi ang lamok ng isa.
The mosquitoes have eyes.	May mga mata ang mga lamok.
The mosquitoes have wine.	May alak ang mga lamok.
The mosquitoes keep sabbath.	Nagsisimba ang lamok.
The mosquitoes kissed again.	Naghalikan ang mga lamok ulit.
The mosquitoes look rather fake.	Mukhang peke ang mga lamok.
The mosquitoes missed him.	Hindi nakita ng mga lamok siya.
The mosquitoes see dan.	Nakita ng mga lamok si dan.
The mosquitoes should be studying.	Dapat nag-aaral ang lamok.
The mosquitoes warned you.	Binalaan ng mga lamok siya.
The mosquitoes were all busy.	Abala ang lahat ng mga lamok.
The mosquitoes were all here.	Nandito lahat ang mga lamok.
The mosquitoes were so different.	Ang mga lamok ay kakaiba.
The mosquitoes wouldn't have thought.	Hindi inakala ng lamok.
The moth baked a pie.	Nagluto ang gamugamo ng pie.
The moth cannot cough.	Hindi makabahing ang gamugamo.
The moth got you a present.	May regalo ang gamugamo sa iyo.
The moth retired in 2013.	Nagretiro ang gamugamo noong 2013.
The moth started dancing.	Nagsimulang sumayaw ang gamugamo.
The moths ambushed us.	Inambus kami ng mga gamugamo.
The mountain's top is high.	Ang tuktok ng buntok ay mataas.
The mung bean is artificial.	Artipisyal ang munggo.
The mung bean is beautiful.	Maganda ang munggo.
The mung bean is delicious.	Masarap ang munggo.
The mung bean is exceptional.	Katangi-tangi ang munggo.
The mung bean is fragrant.	Mahalimuyak ang munggo.
The mung bean is inadequate.	Kulang ang munggo.
The mung bean is nutritious.	Masustansya ang munggo.
The mung bean is tasteless.	Matabang ang munggo.
The mung bean is valuable.	Mahalaga ang munggo.
The mushroom is artificial.	Artipisyal ang kabute.
The mushroom is bouncing.	Tumatalbog ang kabute.
The mushroom is elongated.	Ang kabute ay pahaba.
The mushroom is exceptional.	Katangi-tangi ang kabute.
The mushroom is fragrant.	Mahalimuyak ang kabute.
The mushroom is nutritious.	Masustansya ang kabute.
The mushroom is tasteless.	Matabang ang kabute.
The mustard is artificial.	Artipisyal ang mustasa.
The mustard is exceptional.	Katangi-tangi ang mustasa.
The mustard is fragrant.	Mahalimuyak ang mustasa.
The mustard is nutritious.	Masustansya ang mustasa.
The mustard is tasteless.	Matabang ang mustasa.
The needled pierced the balloon.	Binutas ng karayom ang lobo.
The new coach is strict.	Ang bagong tagapagturo ay mahigpit.
The new medicine worked.	Pinagaling sya ng bagong gamot.
The news can't be true.	Di yata totoo ang balita.
The news quickly spread.	Mabilis ang pagkalat ng balita.
The newspaper is hard to read.	Mahirap basahin ang dyaryo.
The next class is PE.	Ang susunod na klase ay PE.
The ninth chair is vacant.	Bakante ang ika-siyam na upuan.
The ninth chair is vacant.	Bakante ang pang-siyam na upuan.
The ninth of September.	Ikasiyam ng Septiyembre.
The ninth seat is vacant.	Bakante ang ika-siyam na upuan.
The ninth seat is vacant.	Bakante ang pang-siyam na upuan.
The noise awoke me from my sleep.	Ginising ako ng ingay.
The noisy one will be enlisted.	Ang maingay ay ililista.
The noisy one will be punished.	Ang maingay ay paparusahan.
The noisy one will be sent out.	Ang maingay ay papalabasin.
The noisy one will be sent out.	Ang maingay ay palalabasin.
The nut is exceptional.	Katangi-tangi ang mani.
The oat is exceptional.	Katangi-tangi ang trigo.
The oceans are vast.	Malawak ang mga karagatan.
The octopus could be eaten.	Posibleng kainin ang mga pugita.
The office is silent at night.	Tahimik ang opisina sa gabi.
The oil has spilled out.	Ang langis ay tumagas.
The oil has spilled over.	Ang langis ay umapaw.
The okra is exceptional.	Katangi-tangi ang okra.
The old clock is still in use.	Ginagamit pa ang lumang orasan.
The oleander is artificial.	Artipisyal ang adelpa.
The oleander is exceptional.	Katangi-tangi ang adelpa.
The oleander is fragrant.	Mahalimuyak ang adelpa.
The oleander is nutritious.	Masustansya ang adelpa.
The oleander is tasteless.	Matabang ang adelpa.
The one practicing is panting.	Hinihingal ang nag-eensayo.
The onion is artificial.	Artipisyal ang sibuyas.
The onion is exceptional.	Katangi-tangi ang sibuyas.
The onion is fragrant.	Mahalimuyak ang sibuyas.
The onion is nutritious.	Masustansya ang sibuyas.
The opposing team lost.	Natalo ang kalabang koponan.
The opposing team won.	Nanalo ang kalabang koponan.
The orchid is artificial.	Artipisyal ang orkidyas.
The orchid is exceptional.	Katangi-tangi ang orkidyas.
The orchid is fragrant.	Mahalimuyak ang orkidyas.
The orchid is nutritious.	Masustansya ang orkidyas.
The orchid is tasteless.	Matabang ang orkidyas.
The oregano is artificial.	Artipisyal ang oregano.
The oregano is exceptional.	Katangi-tangi ang oregano.
The oregano is fragrant.	Mahalimuyak ang oregano.
The oregano is nutritious.	Masustansya ang oregano.
The oregano is tasteless.	Matabang ang oregano.
The other bears scream.	Ang ibang oso ay sumigaw.
The other bull is excited.	Ang ibang toro ay natutuwa.
The other day she asked.	noong isang araw ay nagtanong siya.
The other duck is excited.	Ang ibang bibe ay natutuwa.
The other fishes are scared.	Takot ang ibang isda.
The other frogs are scared.	Takot ang ibang palaka.
The other goats scream.	Ang ibang kambing ay sumigaw.
The other snake is excited.	Ang ibang ahas ay natutuwa.
The outing was bad.	Ang pagliliwaliw ay masama.
The owl couldn't stop.	Hindi ang kuwago makatigil.
The owl didn't vote for tom.	Hindi ng kuwago binoto si tom.
The owl do not have time.	Wala ang kuwago oras.
The owl fell asleep in class.	Napatulog ang kuwago sa klase.
The owl has huge eyes.	May malaking mata ang kuwago.
The owl have class tomorrow.	May klase ang kuwago bukas.
The owl hit on an idea.	Meron ang kuwago naisip.
The owl know that she is cute.	Alam ng kuwago kyut siya.
The owl know tom lied.	Alam ng kuwago nagsinungaling si tom.
The owl like the dog.	Gusto ng kuwago yung aso.
The owl like this dog.	Gusto ng kuwago itong asong ito.
The owl like turtles.	Gusto ng kuwago ang mga pagong.
The owl listen to music.	Nakikinig ang kuwago sa musika.
The owl lost an earring.	Nawalan ang kuwago ng hikaw.
The owl must go right away.	Dapat basta umalis na ang kuwago.
The owl stole it from tom.	Ninakaw ng kuwago ito kay tom.
The owl want you to sing.	Gusto ng kuwago kumanta ka.
The owl was very hungry.	Ginutom ang kuwago ng maigi.
The owl went on reading.	Tinuloy ng kuwago ang pagbabasa.
The owl will get some ice.	Kukuha ang kuwago ng yelo.
The owl won't stand for this.	Hindi maaari ito.
The owls do not like tom.	Hindi ng mga kuwago gusto si tom.
The owls lost again.	Natalo nanaman ang mga kuwago.
The pain in my foot is gone.	Nawala na ang sakit sa paa ko.
The palace is full of cows.	Puno ang palasyo ng baka.
The papaya is artificial.	Artipisyal ang papaya.
The papaya is exceptional.	Katangi-tangi ang papaya.
The papaya is fragrant.	Mahalimuyak ang papaya.
The papaya is nutritious.	Masustansya ang papaya.
The paper given was not enough.	Kulang ang papel na ibinigay.
The paper goes up slowly.	Mabagal umangat ang papel.
The papers go up slowly.	Mabagal umangat ang mga papel.
The party has just begun.	Kasisimula pa lang ng kasiyahan.
The party is just beginning.	Nagsisimula pa lang ang party.
The peace would not last long.	Hindi nagtagal ang kapayapaan.
The pear is exceptional.	Katangi-tangi ang peras.
The pearl is in the east.	Nasa silangan ang perlas.
The pencil lead is color gray.	Kulay abo ang lead ng lapis.
The pencil lead is gray.	Kulay abo ang lead ng lapis.
The people are friendly to us.	Mababait ang mga tao sa amin.
The pepper is artificial.	Artipisyal ang paminta.
The pepper is exceptional.	Katangi-tangi ang paminta.
The pepper is fragrant.	Mahalimuyak ang paminta.
The pepper is nutritious.	Masustansya ang paminta.
The phone is ringing.	Ang telepono ay tumutunog.
The pig eats worms.	Kumakain ng mga uod ang baboy.
The pig has always been lucky.	Maswerte ang baboy.
The pig has huge shoulders.	May malaking balikat ang baboy.
The pig hears noises.	Nakarinig ng ingay ang baboy.
The pig is given a nickname.	Binigyan ng alyas ang baboy.
The pig is going to school.	Papasok ang baboy sa paaralan.
The pig is not special.	Hindi espesyal ang baboy.
The pig is rolling in the mud.	Gumugulong sa putik ang baboy.
The pig presents evidence.	Naghain ng ebidensya ang baboy.
The pig sees a light.	Nakakita ang baboy ng ilaw.
The pig walks around.	Naglakad lakad ang baboy sa paligid.
The pig's blood is edible.	Nakakain ang dugo ng baboy.
The pig's blood is red.	Pula ang dugo ng baboy.
The pigs practiced well.	Nagensayo nang maigi ang mga baboy.
The pillow feels nice to hug.	Ang unan ay masarap yakapin.
The pineapple is artificial.	Artipisyal ang pinya.
The pineapple is exceptional.	Katangi-tangi ang pinya.
The pineapple is fragrant.	Mahalimuyak ang pinya.
The pineapple is nutritious.	Masustansya ang pinya.
The pineapple is tasteless.	Matabang ang pinya.
The pirate cockroach is closing.	Dumidikit ang piratang ipis.
The pirate hen is closing.	Dumidikit ang piratang inahin.
The pirate rabbit is closing.	Dumidikit ang piratang kuneho.
The pizza smells delicious.	Amoy masarap ang pizza.
The place is full of kittens.	Puno ang lugar ng mga kuting.
The place is full of lions.	Puno ang lugar ng mga leon.
The place is full of pigs.	Puno ang lugar ng mga baboy.
The place is peace and quiet.	Mapayapa at matahimik sa lugar.
The place is too crowded.	Ang lugar ay sobrang siksikan.
The plan proved a disaster.	Ang plano ay hindi gumana.
The plan proved tiring.	Ang plano ay nakakapagod.
The plane took off last night.	Lumipad yung eroplano kagabi.
The plant is wearing pants.	Nakasuot ng pantalon ang halaman.
The plants are growing.	Tumutubo ang mga halaman.
The plants are more colorful.	Mas makulay ang mga halaman.
The poem is being written by him.	Ang tula ay sinusulat niya.
The poem is written by him.	Ang tula ay sinulat niya.
The poem will be written by him.	Ang tula ay susulatin niya.
The police are after me.	Hinahabol ako ng mga pulis.
The pomelo is exceptional.	Katangi-tangi ang suha.
The pomelo is nutritious.	Masustansya ang suha.
The potatoes are harvested.	Inani ang mga patatas.
The pots are more colorful.	Mas makulay ang mga paso.
The president is lying.	Nagsisinungaling ang presidente.
The prince cow is poisoned.	Nalason ang prinsipeng baka.
The prince cow is rich.	Mayaman ang prinsipeng baka.
The prince cow wins.	Nanalo ang prinsipeng baka.
The prince cow works hard.	Nagtatrabaho ang prinsipeng baka.
The principal is busy.	Ang punongguro ay abala.
The professor is teaching.	Nagtuturo ang propesor.
The professor extended time.	Sumobra sa oras ang propesor.
The professor will teach.	Magtuturo ang propesor.
The pumpkin became a carriage.	Naging karwahe ang kalabasa.
The pumpkin is artificial.	Artipisyal ang kalabasa.
The pumpkin is beautiful.	Maganda ang kalabasa.
The pumpkin is colored orange.	Kulay kahel ang kalabasa.
The pumpkin is delicious.	Masarap ang kalabasa.
The pumpkin is exceptional.	Katangi-tangi ang kalabasa.
The pumpkin is fragrant.	Mahalimuyak ang kalabasa.
The pumpkin is inadequate.	Kulang ang kalabasa.
The pumpkin is nutritious.	Masustansya ang kalabasa.
The pumpkin is tasteless.	Matabang ang kalabasa.
The pumpkin is valuable.	Mahalaga ang kalabasa.
The pupil is studying.	Ang mag-aaral ay nag-aaral.
The pupil will study.	Ang mag-aaral ay mag-aaral.
The puppies buy equipment.	Bumili ng gamit ang mga tuta.
The puppies chooses team.	Namili ng koponan ang mga tuta.
The puppies love floorball.	Mahal ng mga tuta ang floorball.
The puppies train at night.	Nagsasanay ang mga tuta sa gabi.
The puppies train at the gym.	Nagsasanay ang mga tuta sa gym.
The puppies train together.	Nagsanay ng sabay ang mga tuta.
The puppies weren't lying.	Ang mga tuta ay di nagsinungaling.
The puppy has a helmet.	Ang tuta ay may helmet.
The puppy has a new ball.	May bagong bola ang tuta.
The puppy has a rival.	Ang tuta ay may kalaban.
The puppy has eight helmets.	Ang tuta ay may walong helmet.
The puppy has five helmets.	Ang tuta ay may limang helmet.
The puppy has four helmets.	Ang tuta ay may apat na helmet.
The puppy has nine helmets.	Ang tuta ay may siyam na helmet.
The puppy has one helmet.	Ang tuta ay may isang helmet.
The puppy has seven helmets.	Ang tuta ay may pitong helmet.
The puppy has six helmets.	Ang tuta ay may anim na helmet.
The puppy has ten helmets.	Ang tuta ay may sampung helmet.
The puppy has three helmets.	Ang tuta ay may tatlong helmet.
The puppy has two helmets.	Ang tuta ay may dalawang helmet.
The puppy is a goalkeeper.	Goalkeeper ang tuta.
The puppy is not playing.	Hindi naglalaro ang tuta.
The puppy passes the ball.	Pinasa ng tuta ang bola.
The puppy shoots the ball.	Tinira ng tuta ang bola.
The puppy smoked one.	Ang tuta ay umusok ng isa.
The puppy steals the ball.	Inagaw ng tuta ang bola.
The puppy train at the road.	Nagsasanay ang tuta sa kalsada.
The puppy will miss the game.	Hindi makakalaro ang tuta.
The puppy will start the game.	Magsisimula sa laro ang tuta.
The puppy's ball is black.	Ang bola ng tuta ay itim.
The puppy's ball is blue.	Ang bola ng tuta ay asul.
The puppy's ball is heavy.	Ang bola ng tuta ay magbigat.
The puppy's ball is light.	Ang bola ng tuta ay magaan.
The puppy's ball is red.	Ang bola ng tuta ay pula.
The puppy's ball is white.	Ang bola ng tuta ay puti.
The puppy's helmet is light.	Ang helmet ng tuta ay magaan.
The puppy's team is leading.	Lamang ang koponan ng tuta.
The puppy's team is strong.	Malakas ang koponan ng tuta.
The puppy's team is trailing.	Naghahabol ang koponan ng tuta.
The puppy's team is training.	Nagsasanay ang koponan ng tuta.
The puppy's team lost.	Natalo ang koponan ng tuta.
The puppy's team score.	Nakatira ang koponan ng tuta.
The puppy's team won.	Nanalo ang koponan ng tuta.
The purple yam is artificial.	Artipisyal ang ube.
The purple yam is exceptional.	Katangi-tangi ang ube.
The purple yam is fragrant.	Mahalimuyak ang ube.
The purple yam is nutritious.	Masustansya ang ube.
The rabbit ate dinner.	Kumain ng hapunan ang kuneho.
The rabbit enters a room.	Pumasok ang kuneho sa kwarto.
The rabbit escapes the island.	Tumakas ang kuneho sa isla.
The rabbit find a letter.	May nahanap ng sulat ang kuneho.
The rabbit finds a pet.	Nahanap ng kuneho ang alaga.
The rabbit gets into the boat.	Sumakay ng barko ang kuneho.
The rabbit has a ship.	Ang kuneho ay may barko.
The rabbit has two friends.	May dalawang kaibigan ang kuneho.
The rabbit is having a race.	Nakikipagkarera ang kuneho.
The rabbit is holding the fruit.	Hawak ng kuneho ang prutas.
The rabbit joins the pirate.	Sumama ang kuneho sa pirata.
The rabbit reads the letter.	Binasa ng kuneho ang liham.
The rabbit search the building.	Nilibot ng kuneho ang gusali.
The rabbit stays in the island.	Nanatili ang kuneho sa isla.
The rabbit steals the fruit.	Ninakaw ng kuneho ang prutas.
The rabbit steps on sand.	Tumapak sa buhangin ang kuneho.
The rabbit took out a watch.	May nilabas na relo ang kuneho.
The rabbit's boat is damaged.	Nasira ang barko ng kuneho.
The rabbit's brother is alive.	Buhay ang kapatid ng kuneho.
The rabbit's brother is dead.	Patay ang kapatid ng kuneho.
The rabbit's brother is happy.	Masaya ang kapatid ng kuneho.
The rabbit's brother is near.	Malapit ang kapatid ng kuneho.
The rabbit's brother is sad.	Malungkot ang kapatid ng kuneho.
The rabbits are reunited.	Nagkitang muli ang mga kuneho.
The race is far from over.	Malayo pa ang karera sa katapusan.
The race is full of carabaos.	Puno ang karera ng mga kalabaw.
The race is full of sharks.	Puno ang karera ng mga pating.
The radish is artificial.	Artipisyal ang labanos.
The radish is exceptional.	Katangi-tangi ang labanos.
The radish is fragrant.	Mahalimuyak ang labanos.
The radish is nutritious.	Masustansya ang labanos.
The rain has already stopped.	Tumila na ang ulan.
The rain lasted a week.	Umulan nang isang linggo.
The rain spoiled our picnic.	Sinira ng ulan ang piknik namin.
The rainbow is colorful.	Makulay ang bahaghari.
The rainbow is not fake.	Hindi peke ang bahaghari.
The rat is listening to vixx.	Nakikinig ang daga sa vixx.
The rat still have a slight limp.	May pilay na unti ang daga.
The rat told them no.	Sinabi ng daga sa kanila hindi.
The rats adore her.	Kinagugustuhan siya ng mga daga.
The rats all burst out laughing.	Tumatawa ang mga daga.
The rats believe in god.	Naniniwala ng mga daga sa diyos.
The rats bottled the beer.	Binote ng mga daga ang alak.
The rats can leave.	Pwede nang umalis ang mga daga.
The rats didn't find her.	Hindi siya mahanap ng mga daga.
The rats like you very much.	Gusto ka ng mga daga ng sobra.
The rats voted against it.	Bumoto ang mga daga laban dito.
The rats were not lying.	Hindi nagsisinungaling ang mga daga.
The rats were very amused.	Naaliw ang mga daga.
The referee stops the match.	Tinigil ng opisyal ang laro.
The relationship is like a game.	Ang relasyon ay parang laro.
The rent is due tomorrow.	bayaran na ng renta bukas.
The researcher researched.	Ang mananaliksik ay nanaliksik.
The researcher researches.	Ang mananaliksik ay nagsasaliksik.
The restaurant seems expensive.	Mukhang mahal yung kainan.
